route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1109948,280,OCESN012322F0400412159,"12322",0,,
OCE1109948,276,OCESN012302F0300312138,"12302",0,,
OCE1109948,276,OCESN012318F0200212153,"12318",0,,
OCE610,4502,OCESN016547F1201212504,"16547",1,,
OCE610,4489,OCESN853071F0500543300,"853071",1,,
OCE610,4243,OCESN016511F1501512485,"16511",1,,
OCE610,4500,OCESN016515F0200212494,"16515",1,,
OCE610,4504,OCESN016547F0700712503,"16547",1,,
OCE610,4497,OCESN016513F0200212488,"16513",1,,
OCE610,4503,OCESN016511F0900912484,"16511",1,,
OCE610,4243,OCESN016544F1401412498,"16544",0,,
OCE610,4502,OCESN016546F0900912501,"16546",0,,
OCE610,4502,OCESN016514F1101112492,"16514",0,,
OCE610,4494,OCESN016512F0300312487,"16512",0,,
OCE610,4501,OCESN016546F0500512500,"16546",0,,
OCE610,4505,OCESN016544F0800812497,"16544",0,,
OCE610,4501,OCESN016514F0700712490,"16514",0,,
OCE610,3974,OCESN016516F0700712496,"16516",0,,
OCE610,691,OCESN853016F0500543299,"853016",0,,
OCE610,4496,OCESN016510F0500512483,"16510",0,,
OCE35,167,OCESN862525F0300345990,"862525",1,,
OCE35,167,OCESN862555F0300346001,"862555",1,,
OCE35,4396,OCESN016773F2902912592,"16773",1,,
OCE35,317,OCESN016761F2002012543,"16761",1,,
OCE35,4375,OCESN016773F3003012586,"16773",1,,
OCE35,4371,OCESN016765F2802812555,"16765",1,,
OCE35,206,OCESN016773F2802812587,"16773",1,,
OCE35,1754,OCESN016765F2502512554,"16765",1,,
OCE35,110,OCESN016753F1701712521,"16753",1,,
OCE35,782,OCESN016753F1801812522,"16753",1,,
OCE35,4364,OCESN016753F1501512519,"16753",1,,
OCE35,1632,OCESN016753F1601612520,"16753",1,,
OCE35,4391,OCESN016757F1901912532,"16757",1,,
OCE35,1643,OCESN016757F2002012534,"16757",1,,
OCE35,1632,OCESN016757F1801812533,"16757",1,,
OCE35,4334,OCESN016761F1401412544,"16761",1,,
OCE35,4439,OCESN016769F1601612574,"16769",1,,
OCE35,758,OCESN016761F1901912542,"16761",1,,
OCE35,1754,OCESN016761F2102112541,"16761",1,,
OCE35,4375,OCESN016765F2702712561,"16765",1,,
OCE35,4424,OCESN016777F2702712610,"16777",1,,
OCE35,2401,OCESN016777F2802812607,"16777",1,,
OCE35,4425,OCESN016777F2902912608,"16777",1,,
OCE35,4314,OCESN862585F0600646009,"862585",1,,
OCE35,2451,OCESN862587F0700746012,"862587",1,,
OCE35,1263,OCESN862587F0600646013,"862587",1,,
OCE35,1475,OCESN862587F0400446014,"862587",1,,
OCE35,4409,OCESN016781F1201212619,"16781",1,,
OCE35,206,OCESN016775F1701712601,"16775",1,,
OCE35,1632,OCESN016775F1601612600,"16775",1,,
OCE35,1078,OCESN016781F1401412622,"16781",1,,
OCE35,4366,OCESN016765F1501512552,"16765",1,,
OCE35,4372,OCESN016765F2602612557,"16765",1,,
OCE35,1708,OCESN016753F1401412518,"16753",1,,
OCE35,1708,OCESN016777F3003012612,"16777",1,,
OCE35,4333,OCESN016757F2102112535,"16757",1,,
OCE35,4333,OCESN016761F2302312545,"16761",1,,
OCE35,4333,OCESN016765F2902912559,"16765",1,,
OCE35,4333,OCESN016769F1701712575,"16769",1,,
OCE35,1708,OCESN016773F3103112591,"16773",1,,
OCE35,236,OCESN016766F2202212566,"16766",0,,
OCE35,1760,OCESN862564F0300346005,"862564",0,,
OCE35,167,OCESN862572F0200246006,"862572",0,,
OCE35,1583,OCESN016758F0700712539,"16758",0,,
OCE35,1583,OCESN016756F0400412530,"16756",0,,
OCE35,1754,OCESN016766F2402412565,"16766",0,,
OCE35,1755,OCESN016766F2702712568,"16766",0,,
OCE35,1706,OCESN016762F2402412550,"16762",0,,
OCE35,1730,OCESN016762F2202212551,"16762",0,,
OCE35,1756,OCESN016766F2602612570,"16766",0,,
OCE35,1706,OCESN016766F2502512569,"16766",0,,
OCE35,1758,OCESN016766F3303312571,"16766",0,,
OCE35,1697,OCESN016786F1701712633,"16786",0,,
OCE35,1698,OCESN016786F2102112634,"16786",0,,
OCE35,1727,OCESN016788F1801812639,"16788",0,,
OCE35,110,OCESN016788F1901912640,"16788",0,,
OCE35,1639,OCESN016778F1101112617,"16778",0,,
OCE35,1705,OCESN016782F2502512624,"16782",0,,
OCE35,1636,OCESN016778F1701712615,"16778",0,,
OCE35,1637,OCESN016778F1801812616,"16778",0,,
OCE35,1696,OCESN016786F1901912631,"16786",0,,
OCE35,1707,OCESN016782F2702712625,"16782",0,,
OCE35,1706,OCESN016782F2602612627,"16782",0,,
OCE35,1778,OCESN016750F3203212508,"16750",0,,
OCE35,1583,OCESN016752F1101112514,"16752",0,,
OCE35,1634,OCESN862552F0600645999,"862552",0,,
OCE35,4325,OCESN016754F0200212524,"16754",0,,
OCE35,1642,OCESN016770F2402412580,"16770",0,,
OCE35,1780,OCESN016750F3703712510,"16750",0,,
OCE35,1636,OCESN016770F2102112582,"16770",0,,
OCE35,1643,OCESN016770F2302312581,"16770",0,,
OCE35,1636,OCESN016774F1701712594,"16774",0,,
OCE35,1633,OCESN862552F0400445998,"862552",0,,
OCE35,1643,OCESN016774F2302312596,"16774",0,,
OCE35,1651,OCESN016774F2102112595,"16774",0,,
OCE35,965,OCESN862564F0400446004,"862564",0,,
OCE35,1782,OCESN016750F3603612512,"16750",0,,
OCE35,965,OCESN016766F2302312564,"16766",0,,
OCE35,1779,OCESN016750F2702712509,"16750",0,,
OCE35,1708,OCESN016782F3003012628,"16782",0,,
OCE1209980,5326,OCESN860205F0400445346,"860205",1,,
OCE1209980,2197,OCESN860219F0600645352,"860219",1,,
OCE1209980,5336,OCESN860219F0300345351,"860219",1,,
OCE1209980,184,OCESN860205F0300345345,"860205",1,,
OCE1209980,782,OCESN016825F0600612681,"16825",1,,
OCE1209980,833,OCESN016813F1201212661,"16813",1,,
OCE1209980,5137,OCESN860213F0400445348,"860213",1,,
OCE1209980,782,OCESN016833F1001012696,"16833",1,,
OCE1209980,1243,OCESN860267F0400445362,"860267",1,,
OCE1209980,5118,OCESN860269F0200245364,"860269",1,,
OCE1209980,1628,OCESN860271F0200245365,"860271",1,,
OCE1209980,167,OCESN860265F0200245360,"860265",1,,
OCE1209980,167,OCESN860253F0200245355,"860253",1,,
OCE1209980,1270,OCESN860261F0200245358,"860261",1,,
OCE1209980,5250,OCESN016813F0600612659,"16813",1,,
OCE1209980,5120,OCESN016809F0600612654,"16809",1,,
OCE1209980,5244,OCESN016817F1101112665,"16817",1,,
OCE1209980,5244,OCESN016813F0700712660,"16813",1,,
OCE1209980,1085,OCESN016829F0800812688,"16829",1,,
OCE1209980,424,OCESN016805F0300312648,"16805",1,,
OCE1209980,1242,OCESN016807F0500512651,"16807",1,,
OCE1209980,184,OCESN016805F0400412649,"16805",1,,
OCE1209980,167,OCESN016827F0300312683,"16827",1,,
